scenario_incremental_solar_gwh,date,incremental_solar_mwh,observed_waitaki_generation_mwh,observed_thermal_generation_mwh,observed_upper_waitaki_storage_gwh,direct_thermal_displacement_mwh,hydro_avoided_and_stored_mwh,reserve_hydro_released_to_displace_thermal_mwh,counterfactual_storage_delta_gwh,counterfactual_upper_waitaki_storage_gwh,storage_limited_hydro_displacement_mwh,curtailed_incremental_solar_mwh
0,2024-01-01,0.0,11797.967,8548.98,1346.755813,0.0,0.0,0.0,0.0,1346.755813,0.0,0.0
0,2024-01-02,0.0,13939.435,9347.677,1362.438764,0.0,0.0,0.0,0.0,1362.438764,0.0,0.0
0,2024-01-03,0.0,22420.688,10635.853,1367.262118,0.0,0.0,0.0,0.0,1367.262118,0.0,0.0
0,2024-01-04,0.0,18560.245,10806.694,1366.554438,0.0,0.0,0.0,0.0,1366.554438,0.0,0.0
0,2024-01-05,0.0,20397.112,13305.382,1367.506997,0.0,0.0,0.0,0.0,1367.506997,0.0,0.0
0,2024-01-06,0.0,15412.399,13435.169,1367.991076,0.0,0.0,0.0,0.0,1367.991076,0.0,0.0
0,2024-01-07,0.0,18043.519,13968.907,1369.6365,0.0,0.0,0.0,0.0,1369.6365,0.0,0.0
0,2024-01-08,0.0,21188.958,18121.778,1366.647821,0.0,0.0,0.0,0.0,1366.647821,0.0,0.0
0,2024-01-09,0.0,20585.413,18756.185,1364.348443,0.0,0.0,0.0,0.0,1364.348443,0.0,0.0
0,2024-01-10,0.0,24649.852,20155.663,1356.527038,0.0,0.0,0.0,0.0,1356.527038,0.0,0.0
0,2024-01-11,0.0,21213.377,19658.339,1354.931197,0.0,0.0,0.0,0.0,1354.931197,0.0,0.0
0,2024-01-12,0.0,23246.635,19801.531,1348.336893,0.0,0.0,0.0,0.0,1348.336893,0.0,0.0
0,2024-01-13,0.0,18666.398,16412.449,1340.70284,0.0,0.0,0.0,0.0,1340.70284,0.0,0.0
0,2024-01-14,0.0,16766.116,14953.037,1342.450314,0.0,0.0,0.0,0.0,1342.450314,0.0,0.0
0,2024-01-15,0.0,24755.965,16086.181,1345.779037,0.0,0.0,0.0,0.0,1345.779037,0.0,0.0
0,2024-01-16,0.0,28572.55,17045.311,1340.625048,0.0,0.0,0.0,0.0,1340.625048,0.0,0.0
0,2024-01-17,0.0,32336.319,19562.668,1331.712797,0.0,0.0,0.0,0.0,1331.712797,0.0,0.0
0,2024-01-18,0.0,33867.339,19812.901,1320.751055,0.0,0.0,0.0,0.0,1320.751055,0.0,0.0
0,2024-01-19,0.0,27642.364,18681.138,1330.140495,0.0,0.0,0.0,0.0,1330.140495,0.0,0.0
0,2024-01-20,0.0,22388.467,12999.264,1441.975712,0.0,0.0,0.0,0.0,1441.975712,0.0,0.0
0,2024-01-21,0.0,25787.45,14407.832,1537.532853,0.0,0.0,0.0,0.0,1537.532853,0.0,0.0
0,2024-01-22,0.0,27986.855,18457.275,1572.453343,0.0,0.0,0.0,0.0,1572.453343,0.0,0.0
0,2024-01-23,0.0,23534.848,12526.424,1608.203677,0.0,0.0,0.0,0.0,1608.203677,0.0,0.0
0,2024-01-24,0.0,28663.646,6310.409,1645.140434,0.0,0.0,0.0,0.0,1645.140434,0.0,0.0
0,2024-01-25,0.0,29005.51,6643.514,1656.738638,0.0,0.0,0.0,0.0,1656.738638,0.0,0.0
0,2024-01-26,0.0,28542.686,8156.453,1656.90138,0.0,0.0,0.0,0.0,1656.90138,0.0,0.0
0,2024-01-27,0.0,18879.436,7271.013,1686.414156,0.0,0.0,0.0,0.0,1686.414156,0.0,0.0
0,2024-01-28,0.0,20931.061,7674.335,1742.172644,0.0,0.0,0.0,0.0,1742.172644,0.0,0.0
0,2024-01-29,0.0,21096.408,7039.871,1773.226145,0.0,0.0,0.0,0.0,1773.226145,0.0,0.0
0,2024-01-30,0.0,24830.806,9273.12,1789.718672,0.0,0.0,0.0,0.0,1789.718672,0.0,0.0
0,2024-01-31,0.0,28921.861,10807.27,1793.630467,0.0,0.0,0.0,0.0,1793.630467,0.0,0.0
0,2024-02-01,0.0,27845.727,7944.238,1791.43429,0.0,0.0,0.0,0.0,1791.43429,0.0,0.0
0,2024-02-02,0.0,22543.765,7492.62,1787.621356,0.0,0.0,0.0,0.0,1787.621356,0.0,0.0
0,2024-02-03,0.0,16338.446,6789.074,1788.758048,0.0,0.0,0.0,0.0,1788.758048,0.0,0.0
0,2024-02-04,0.0,17878.876,6889.12,1794.536348,0.0,0.0,0.0,0.0,1794.536348,0.0,0.0
0,2024-02-05,0.0,21936.206,7326.016,1796.733268,0.0,0.0,0.0,0.0,1796.733268,0.0,0.0
0,2024-02-06,0.0,19464.202,7023.708,1790.296099,0.0,0.0,0.0,0.0,1790.296099,0.0,0.0
0,2024-02-07,0.0,26719.213,11041.76,1783.627852,0.0,0.0,0.0,0.0,1783.627852,0.0,0.0
0,2024-02-08,0.0,29467.873,11304.604,1774.351,0.0,0.0,0.0,0.0,1774.351,0.0,0.0
0,2024-02-09,0.0,29231.232,10448.089,1767.34094,0.0,0.0,0.0,0.0,1767.34094,0.0,0.0
0,2024-02-10,0.0,20852.84,9172.639,1759.190037,0.0,0.0,0.0,0.0,1759.190037,0.0,0.0
0,2024-02-11,0.0,18577.156,8701.342,1755.859784,0.0,0.0,0.0,0.0,1755.859784,0.0,0.0
0,2024-02-12,0.0,27792.556,13393.29,1744.56034,0.0,0.0,0.0,0.0,1744.56034,0.0,0.0
0,2024-02-13,0.0,28397.821,12434.27,1728.33601,0.0,0.0,0.0,0.0,1728.33601,0.0,0.0
0,2024-02-14,0.0,26297.573,13601.165,1714.130539,0.0,0.0,0.0,0.0,1714.130539,0.0,0.0
0,2024-02-15,0.0,25364.651,13687.451,1702.712051,0.0,0.0,0.0,0.0,1702.712051,0.0,0.0
0,2024-02-16,0.0,26872.172,16910.314,1696.597593,0.0,0.0,0.0,0.0,1696.597593,0.0,0.0
0,2024-02-17,0.0,19798.821,13538.471,1700.058765,0.0,0.0,0.0,0.0,1700.058765,0.0,0.0
0,2024-02-18,0.0,16319.434,11382.961,1709.466761,0.0,0.0,0.0,0.0,1709.466761,0.0,0.0
0,2024-02-19,0.0,22950.0,13918.353,1716.040104,0.0,0.0,0.0,0.0,1716.040104,0.0,0.0
0,2024-02-20,0.0,29408.366,15493.726,1709.884992,0.0,0.0,0.0,0.0,1709.884992,0.0,0.0
0,2024-02-21,0.0,27351.682,20809.952,1701.507418,0.0,0.0,0.0,0.0,1701.507418,0.0,0.0
